# name, hasImage, rarity, price, isBought, colorOrPath
Basic Red, false, COMMON, 0, true, RED
Basic Blue, false, COMMON, 0, true, BLUE
Basic Cyan, false, RARE, 100, false, CYAN
Basic Cyan, false, RARE, 100, false, YELLOW
Basic Cyan, false, RARE, 100, false, ORANGE
Basic Cyan, false, RARE, 100, false, BLACK
Basic Red, false, COMMON, 0, true, RED
Basic Red, false, COMMON, 0, true, RED
Basic Red, false, COMMON, 0, true, RED
Basic Red, false, COMMON, 0, true, RED
Fire Orb, true, EPIC, 500, false, assets/images/ball.png
Fire Orb, true, EPIC, 500, false, assets/images/ball.png
Fire Orb, true, EPIC, 500, false, assets/images/ball.png
Fire Orb, true, EPIC, 500, false, assets/images/ball.png
Fire Orb, true, EPIC, 500, false, assets/images/ball.png
Fire Orb, true, EPIC, 500, false, assets/images/ball.png
Fire Orb, true, EPIC, 500, false, assets/images/ball.png
Fire Orb, true, LEGENDARY, 500, false, assets/images/ball.png
Fire Orb, true, LEGENDARY, 500, false, assets/images/ball.png
Fire Orb, true, LEGENDARY, 500, false, assets/images/ball.png

